country,ico_start,ico_end,price_usd,goal,distributed_in_ico,sold_tokens,token_for_sale,whitelist,kyc,bonus,mvp,pre_ico_start,pre_ico_end,pre_ico_price_usd,link_white_paper,linkedin_link,github_link,website,rating,teamsize,ERC20
Gibraltar,11/02/2018,10/05/2018,1.11,0,0.1,,46900000.0,NO,0,0.0,,,,,https://www.socratescoin.io/whitepaper.pdf,https://www.linkedin.com/company/socratescoin/,,https://www.socratescoin.io?utm_source=icobench,2.9,,T
Lithuania,27/11/2017,22/12/2017,0.1,1,0.6,,50000000.0,,no,0,,,,,https://sola.foundation/Sola_Whitepaper_V1_EN.pdf,https://www.linkedin.com/company/enod/,,https://sola.foundation/#tokens?utm_source=icobench,3.7,12.0,1
Switzerland,07/12/2017,17/12/2017,0.457,1,0.3,,150000000.0,,False,No,,,,,https://www.sophiatx.com/_data/_custom/SophiaTX_Whitepaper_v1.2.pdf,https://www.linkedin.com/company/sophiatx/,,https://www.sophiatx.com/?utm_source=icobench,2.9,20.0,1.0
USA,20/09/2017,21/12/2017,37.0,1,,,,NO,no,0.0,,,,,http://storage.sparklecoin.com/papers/Sparkle%20Coin%20White%20Paper.pdf,,,https://sparklecoin.com/?utm_source=icobench,2.9,,TRUE
USA,08/12/2017,31/12/2017,0.5,1,0.6,,,,False,No,,14/08/2017,04/09/2017,,https://drive.google.com/file/d/0B2_BLkYG_TdGRGE2MGpyWE1oWkk/view,,,https://ico.spectivvr.com/?utm_source=icobench,2.6,7.0,True
Malaysia,01/03/2018,31/03/2018,0.0057,1,0.7,,,no,0.0,0,,01/01/2018,28/02/2018,0.011,https://docs.wixstatic.com/ugd/381b09_723c6738f73843a9a0cb079e961f46c3.pdf,,https://www.github.com/srcoin-ico?tab=repositories,https://srcoin.info?utm_source=icobench,2.9,,1
Estonia,01/12/2017,30/01/2018,2.32,0,0.75,,75000000.0,,No,N,,,,,https://stampify.me/pdf/Stampify-Whitepaper.pdf,https://www.linkedin.com/company/stampify/,https://www.github.com/stampify?tab=repositories,https://stampify.me/?utm_source=icobench,3.1,7.0,True
Greece,14/10/2017,14/11/2017,1.6448,0,0.91,,18200000.0,,N,N,,,,,https://statercoin.io/whitepaper/Stater_WhitePaper_EN.pdf,,https://www.github.com/Stater-Project?tab=repositories,https://statercoin.io/icopage/?utm_source=icobench,2.9,5.0,0
Singapore,15/04/2018,31/05/2018,0.8,1,0.65,,65000000.0,Y,1.0,0.0,,,,,https://successlife.com/wp-content/uploads/2018/05/SuccessLifeToken-Whitepaper.pdf,https://www.linkedin.com/company/successlife/,,https://successlife.com/?utm_source=icobench,2.9,3.0,false
Chile,18/06/2018,12/10/2018,0.1,0,,,31000000.0,No,true,no,,14/05/2018,15/06/2018,,https://superfruit.io/media/whitepaper/White-Paper-ENG.pdf,https://www.linkedin.com/company/superfruit-io/,,https://superfruit.io?utm_source=icobench,2.9,6.0,TRUE
